GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
12/09/2020SwindonRochdale,Swindon,Rochdale,12/09/2020,1.79,2.01,3.82,1.9,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.5,0.5,1000.0,1000.0,0.5993967967092568,1.0,1.0
13/09/2020IpswichWigan,Ipswich,Wigan,13/09/2020,1.7,2.13,5.24,1.56,0.0,16,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1000.0,1000.0,0.5993967967092568,1.0,1.0
19/09/2020AFC WimbledonPlymouth,AFC Wimbledon,Plymouth,19/09/2020,1.85,1.94,2.66,2.59,1.0,9,8,2,1,2,0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.75,2.0,1.0,1.0,0.0,1003.9758718683703,1016.0241281316297,0.5826343370089802,1.03,0.97
19/09/2020BlackpoolSwindon,Blackpool,Swindon,19/09/2020,1.92,1.88,3.45,2.07,1.0,17,6,0,3,1,1,0.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,983.9758718683703,1016.0241281316297,0.5544007508035045,0.97,1.03
19/09/2020Bristol RvsIpswich,Bristol Rvs,Ipswich,19/09/2020,2.04,1.77,2.45,2.84,1.0,10,4,1,2,1,0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1003.9758718683703,1016.0241281316297,0.5826343370089802,0.99,0.99
19/09/2020BurtonAccrington,Burton,Accrington,19/09/2020,1.95,1.84,3.09,2.25,1.0,18,1,1,2,2,0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,3.25,1.0,2.0,1.0,0.0,983.9758718683703,1016.0241281316297,0.5544007508035045,1.01,0.99
19/09/2020CharltonDoncaster,Charlton,Doncaster,19/09/2020,1.97,1.83,3.5,2.04,1.0,2,11,2,1,0,1,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.75,2.0,1.0,0.0,0.0,1023.9758718683703,996.0241281316297,0.6373441728319683,0.99,0.99
19/09/2020HullCrewe,Hull,Crewe,19/09/2020,1.92,1.87,3.68,1.95,1.0,3,19,2,0,0,2,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1023.9758718683703,976.0241281316297,0.6635120814390222,0.99,0.99
19/09/2020Milton Keynes DonsLincoln,Milton Keynes Dons,Lincoln,19/09/2020,2.13,1.7,2.64,2.67,1.0,12,5,1,2,1,0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.5,1.0,2.0,0.0,0.0,1003.9758718683703,1016.0241281316297,0.5826343370089802,0.99,0.99
19/09/2020OxfordSunderland,Oxford,Sunderland,19/09/2020,2.04,1.76,2.6,2.7,1.0,21,16,0,1,2,1,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.75,0.0,1.0,0.0,0.0,983.9758718683703,996.0241281316297,0.5826343370089802,0.99,0.99
19/09/2020PeterboroFleetwood Town,Peterboro,Fleetwood Town,19/09/2020,2.05,1.75,3.35,2.15,1.0,22,7,0,2,2,1,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.75,0.0,2.0,0.0,1.0,983.9758718683703,1016.0241281316297,0.5544007508035045,0.99,1.01
19/09/2020ShrewsburyNorthampton,Shrewsbury,Northampton,19/09/2020,2.07,1.74,3.32,2.17,1.0,15,13,0,2,0,2,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.75,0.0,2.0,0.0,1.0,1003.9758718683703,996.0241281316297,0.6103363595650616,0.95,1.03
19/09/2020WiganGillingham,Wigan,Gillingham,19/09/2020,1.97,1.82,2.65,2.58,1.0,24,20,0,0,2,2,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,983.9758718683703,976.0241281316297,0.6103363595650616,0.99,0.99
20/09/2020RochdalePortsmouth,Rochdale,Portsmouth,20/09/2020,1.87,1.91,1.71,4.79,1.0,21,17,1,0,3,0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,3.8333333333333335,1.0,0.0,1.0,0.0,983.9758718683703,996.0241281316297,0.5826343370089802,1.03,0.95
26/09/2020AccringtonOxford,Accrington,Oxford,26/09/2020,1.94,1.84,2.32,3.03,2.0,8,24,1,0,2,2,1.5,0.0,1.0,2.0,1.5,0.0,1.0,2.0,4.5,1.5,0.0,0.5,0.0,998.2001581637699,960.6704983880111,0.6499889140099853,0.9999059405940595,0.9809040404040404
26/09/2020CreweMilton Keynes Dons,Crewe,Milton Keynes Dons,26/09/2020,2.09,1.72,3.1,2.25,2.0,22,18,0,1,1,2,0.0,1.0,1.5,1.5,0.0,1.0,1.5,1.5,0.0,0.0,1.0,0.0,0.5,962.5646113891906,980.6704983880111,0.5741311764076933,0.9607020202020202,1.0011060606060607
26/09/2020DoncasterBristol Rvs,Doncaster,Bristol Rvs,26/09/2020,2.03,1.76,3.98,1.88,2.0,4,20,3,0,1,2,2.0,0.5,1.0,1.5,2.0,0.5,1.0,1.5,3.0,2.0,0.5,0.5,0.0,1021.5178950449084,980.6704983880111,0.6543213279431792,1.0213080808080808,0.9809040404040404
26/09/2020Fleetwood TownAFC Wimbledon,Fleetwood Town,AFC Wimbledon,26/09/2020,1.76,2.04,5.03,1.63,2.0,12,16,1,4,2,4,1.5,3.0,1.5,3.0,1.5,3.0,1.5,3.0,2.125,1.5,3.0,1.0,1.0,998.2001581637699,1000.6704983880111,0.5959774096180123,1.0201060606060606,1.1434484536082474
26/09/2020GillinghamBlackpool,Gillingham,Blackpool,26/09/2020,2.15,1.68,2.28,3.04,2.0,14,9,3,2,2,0,1.5,1.0,2.0,0.5,1.5,1.0,2.0,0.5,3.0,1.5,1.0,0.5,0.0,1000.4375825142322,1001.7998418362301,0.5975123635552555,1.041510101010101,0.9603349514563106
26/09/2020IpswichRochdale,Ipswich,Rochdale,26/09/2020,1.68,2.15,6.94,1.44,2.0,1,21,2,0,0,0,2.0,0.5,0.0,1.5,2.0,0.5,0.0,1.5,1.0,2.0,0.5,0.0,0.5,1039.329501611989,980.6704983880111,0.6771315838424042,0.9809040404040404,0.9784999999999999
26/09/2020NorthamptonHull,Northampton,Hull,26/09/2020,1.82,1.97,2.09,3.32,2.0,6,2,2,1,1,0,2.0,1.5,1.5,0.0,2.0,1.5,1.5,0.0,0.0,2.0,1.5,1.0,0.0,1020.4375825142322,1037.4353886108095,0.5756900373081846,1.041657894736842,0.9607020202020202
26/09/2020PlymouthShrewsbury,Plymouth,Shrewsbury,26/09/2020,2.05,1.75,2.98,2.31,2.0,7,19,4,1,4,2,2.5,0.5,2.0,1.0,2.5,0.5,2.0,1.0,2.5,2.5,0.5,0.5,0.5,1019.3295016119889,979.5624174857678,0.6529133872551939,1.0768398058252426,0.960752427184466
26/09/2020PortsmouthWigan,Portsmouth,Wigan,26/09/2020,1.76,2.03,5.36,1.58,2.0,17,23,0,2,0,3,0.0,1.0,0.0,2.5,0.0,1.0,0.0,2.5,2.5,0.0,1.0,0.0,0.5,999.3295016119889,959.5624174857678,0.6529133872551939,0.9025,1.041510101010101
