GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
11/08/2023Sp BragaFamalicao,Sp Braga,Famalicao,11/08/2023,1.67,2.19,7.0,1.43,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.5,0.5,1262.04950818948,1038.945673888914,0.8438610192333371,1.1872836926870143,1.1065038027444307,0.0,0.0,1
12/08/2023Gil VicentePortimonense,Gil Vicente,Portimonense,12/08/2023,2.15,1.69,3.83,2.01,0.0,10,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,0.0,0.0,0.5,0.5,977.0325783272464,906.0541879188477,0.6924369010952228,0.8724407797457435,0.9137312842500355,0.0,0.0,1
12/08/2023FarenseCasa Pia,Farense,Casa Pia,12/08/2023,2.31,1.6,3.02,2.49,0.0,9,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,956.4139707823573,950.5618482764372,0.6074580994896713,0.937610776676561,0.9249247957533675,0.0,0.0,1
12/08/2023Sp LisbonVizela,Sp Lisbon,Vizela,12/08/2023,1.56,2.4,16.63,1.17,0.0,16,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.5,0.5,1304.4654154295456,953.3113460354272,0.9186659417670576,1.2189853401659723,0.8928300236134629,0.0,0.0,1
13/08/2023Rio AveChaves,Rio Ave,Chaves,13/08/2023,2.13,1.7,3.54,2.1,0.0,14,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375,0.0,0.0,0.5,0.5,975.7511473587714,1026.326516739792,0.5279252007109199,0.9226943301397719,0.9308959904836509,0.0,0.0,0
13/08/2023EstrelaGuimaraes,Estrela,Guimaraes,13/08/2023,2.3,1.6,2.81,2.55,0.0,10,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1000.0,1081.2993064073519,0.4837447215067187,1.0,0.8921612287953734,0.0,0.0,0
13/08/2023AroucaEstoril,Arouca,Estoril,13/08/2023,2.33,1.59,3.64,2.13,0.0,5,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.5,1089.159081906201,927.4675845151473,0.7914558734353834,0.7843846128475964,0.9854475513090971,0.0,0.0,1
14/08/2023MoreirensePorto,Moreirense,Porto,14/08/2023,1.65,2.22,1.35,8.11,0.0,10,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.5,0.5,913.1116329037851,1413.1430371695783,0.07759654923403339,0.9474207154403319,1.1404705494919725,0.0,0.0,1
14/08/2023BoavistaBenfica,Boavista,Benfica,14/08/2023,1.59,2.33,1.29,9.89,0.0,9,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,0.0,0.0,0.5,0.5,1032.0503815938637,1339.6228754434835,0.20301156711124732,1.1979340640775331,1.1966801994400618,0.0,0.0,1
18/08/2023Casa PiaSp Lisbon,Casa Pia,Sp Lisbon,18/08/2023,1.75,2.07,1.43,7.3,1.0,2,9,3,3,0,2,3.0,3.0,0.0,2.0,3.0,3.0,0.0,2.0,5.5,3.0,3.0,1.0,1.0,974.860172256024,1307.7187777588633,0.18047453759552057,0.9426709945047216,1.27003947509893,0.0,2.0,1
19/08/2023GuimaraesGil Vicente,Guimaraes,Gil Vicente,19/08/2023,2.13,1.71,3.59,2.1,1.0,8,2,1,5,0,0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,3.75,1.0,5.0,0.0,1.0,1100.6490952676206,989.3351022834374,0.7395685397223668,0.8675531673556047,0.938260106862143,0.0,0.0,1
19/08/2023ChavesSp Braga,Chaves,Sp Braga,19/08/2023,1.74,2.07,1.67,4.79,1.0,16,14,0,1,2,2,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,1.875,0.0,1.0,0.0,1.0,1007.4435247682287,1228.2950674201466,0.2955933170221565,0.9277024923530086,1.182144355587018,2.0,2.0,1
19/08/2023BenficaEstrela,Benfica,Estrela,19/08/2023,1.35,3.1,25.88,1.09,1.0,10,12,2,0,3,1,2.0,0.0,3.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1307.7433381279334,980.6502111397313,0.9076984920039987,1.2203232379957711,0.9724174727106273,3.0,1.0,0
19/08/2023PortimonenseBoavista,Portimonense,Boavista,19/08/2023,2.13,1.7,2.71,2.66,1.0,18,6,0,3,5,2,0.0,3.0,5.0,2.0,0.0,3.0,5.0,2.0,2.4166666666666665,0.0,3.0,1.0,1.0,893.7516639626566,1063.9299189094138,0.3596986352911057,0.9826656803612167,1.2216018754756286,5.0,2.0,1
20/08/2023EstorilRio Ave,Estoril,Rio Ave,20/08/2023,2.24,1.64,3.01,2.43,1.0,12,6,3,2,4,0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,0.0,2.5,3.0,2.0,1.0,0.0,919.1258194525626,994.6341393303346,0.4920735545856835,1.1146590421251878,0.9195289683285939,4.0,0.0,0
20/08/2023PortoFarense,Porto,Farense,20/08/2023,1.48,2.61,19.9,1.13,1.0,10,16,2,0,1,3,2.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,3.5,2.0,0.0,1.0,1.0,1416.2468991389396,932.1156468027705,0.9604499875618984,1.1467768595670138,0.9556003767723839,1.0,3.0,1
20/08/2023VizelaArouca,Vizela,Arouca,20/08/2023,2.17,1.68,3.52,2.14,1.0,14,7,2,4,3,3,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.5,2.0,4.0,1.0,1.0,950.0579837061094,1097.5008469687857,0.3903605408018255,0.9302239634713049,0.8872328111759618,3.0,3.0,1
21/08/2023FamalicaoMoreirense,Famalicao,Moreirense,21/08/2023,2.12,1.71,3.9,1.98,1.0,10,14,2,1,1,2,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.6666666666666665,2.0,1.0,1.0,1.0,1072.7001146582475,910.0077709344238,0.7924052050080396,1.1017141336200602,0.9526595432257103,1.0,2.0,0
25/08/2023EstrelaEstoril,Estrela,Estoril,25/08/2023,2.35,1.59,3.3,2.31,2.0,15,10,0,2,2,0,0.0,2.5,1.5,2.0,0.0,2.5,1.5,2.0,0.0,0.0,2.5,0.0,0.5,976.9581508198912,939.4428772691352,0.6499700733683216,0.9565747997637061,1.1024266227674584,1.5,2.0,1
26/08/2023AroucaPortimonense,Arouca,Portimonense,26/08/2023,1.93,1.87,5.37,1.64,2.0,5,18,2,1,2,4,3.0,0.5,2.5,4.5,3.0,0.5,2.5,4.5,2.25,3.0,0.5,1.0,1.0,1093.1152686008588,879.3637185510124,0.8366355863712082,0.9288719652015829,1.0153921265937051,2.5,4.5,0
26/08/2023FarenseChaves,Farense,Chaves,26/08/2023,2.18,1.68,3.17,2.31,2.0,17,16,1,2,2,4,0.5,1.0,2.5,3.0,0.5,1.0,2.5,3.0,0.0,0.5,1.0,1.0,0.5,930.5336463052464,995.6197920873425,0.5070711331953803,0.9601409114045192,0.9828278130822901,2.5,3.0,1
26/08/2023Gil VicenteBenfica,Gil Vicente,Benfica,26/08/2023,1.53,2.49,1.29,9.69,2.0,7,9,1,2,2,0,3.0,2.0,1.0,1.5,3.0,2.0,1.0,1.5,2.375,3.0,2.0,1.0,0.5,978.9178438723321,1311.4353984477734,0.18076509082268885,0.9605071279677738,1.2004416722160003,1.0,1.5,1
27/08/2023BoavistaCasa Pia,Boavista,Casa Pia,27/08/2023,2.23,1.65,3.3,2.25,2.0,1,9,4,1,1,2,3.5,2.0,1.5,1.0,3.5,2.0,1.5,1.0,1.0,3.5,2.0,1.0,1.0,1078.317864321058,967.6411907522032,0.7388613008784108,1.262285791576743,0.9427800708367002,1.5,1.0,0
27/08/2023GuimaraesVizela,Guimaraes,Vizela,27/08/2023,2.12,1.72,4.08,1.92,2.0,3,16,2,2,1,2,1.5,2.0,0.5,2.5,1.5,2.0,0.5,2.5,3.75,1.5,2.0,0.5,1.0,1111.066353678726,954.4435620740364,0.7865990151735777,0.8881236610633295,0.9738807561478141,0.5,2.5,0
27/08/2023Sp LisbonFamalicao,Sp Lisbon,Famalicao,27/08/2023,1.57,2.4,11.17,1.24,2.0,5,7,2,0,1,0,2.5,1.0,1.5,0.5,2.5,1.0,1.5,0.5,2.875,2.5,1.0,1.0,0.5,1314.937759262684,1061.003906457926,0.8658453590003586,1.2701864311930704,1.046628426939057,1.5,0.5,0
28/08/2023Rio AvePorto,Rio Ave,Porto,28/08/2023,1.74,2.08,1.44,6.91,2.0,13,5,0,2,2,1,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.1666666666666665,1.0,2.0,0.0,1.0,974.317081513762,1417.8288996364638,0.10432123776927826,0.9094379328396336,1.1522257691454951,1.0,1.0,1
01/09/2023VizelaGil Vicente,Vizela,Gil Vicente,01/09/2023,1.96,1.84,3.22,2.24,3.0,16,9,0,2,2,3,1.3333333333333333,2.6666666666666665,2.3333333333333335,1.6666666666666667,1.3333333333333333,2.6666666666666665,2.3333333333333335,1.6666666666666667,2.75,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.0,945.9075226809796,971.6872402394246,0.5632966846214953,0.9702254913780755,0.9957844445059228,2.3333333333333335,1.6666666666666667,0
02/09/2023Casa PiaRio Ave,Casa Pia,Rio Ave,02/09/2023,2.18,1.68,3.38,2.17,3.0,7,14,1,1,1,2,1.6666666666666667,1.0,1.0,1.3333333333333333,1.6666666666666667,1.0,1.0,1.3333333333333333,1.5,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,977.1956427873397,970.1442320029909,0.6091030689784568,0.9273296122083236,0.9160391642309684,1.0,1.3333333333333333,0
02/09/2023FamalicaoFarense,Famalicao,Farense,02/09/2023,2.09,1.74,4.6,1.79,3.0,8,11,0,5,1,0,0.6666666666666666,2.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,1.6666666666666667,3.0,0.6666666666666666,2.0,0.3333333333333333,1.0,1055.6377208179404,950.2508009774311,0.7329434796244055,1.0100427256760562,1.0138810881543308,0.6666666666666666,1.6666666666666667,0
02/09/2023PortimonenseEstrela,Portimonense,Estrela,02/09/2023,2.08,1.74,2.75,2.63,3.0,17,15,1,2,1,1,0.6666666666666666,0.6666666666666666,3.3333333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,3.3333333333333335,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,892.8291420058607,990.9593478851583,0.4596056077312335,1.0076855057975742,0.9631714507819352,3.3333333333333335,1.3333333333333333,0
02/09/2023BenficaGuimaraes,Benfica,Guimaraes,02/09/2023,1.46,2.67,12.87,1.2,3.0,5,1,3,2,2,0,2.3333333333333335,1.6666666666666667,1.6666666666666667,0.3333333333333333,2.3333333333333335,1.6666666666666667,1.6666666666666667,0.3333333333333333,2.7857142857142856,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.3333333333333333,1318.666002080681,1119.602393071783,0.8247482444028654,1.2445312574187137,0.8847902682337012,1.6666666666666667,0.3333333333333333,1
03/09/2023ChavesMoreirense,Chaves,Moreirense,03/09/2023,2.11,1.72,2.93,2.45,2.5,18,17,0,0,5,0,0.6666666666666666,0.5,3.6666666666666665,1.0,0.6666666666666666,0.5,3.6666666666666665,1.0,1.8333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.5,975.9026374151576,921.7039791347454,0.6714928903683772,1.037837801472859,0.9050265660644248,3.6666666666666665,1.0,1
03/09/2023EstorilBoavista,Estoril,Boavista,03/09/2023,2.05,1.77,2.93,2.42,3.0,14,5,1,1,2,1,2.0,2.6666666666666665,2.0,1.3333333333333333,2.0,2.6666666666666665,2.0,1.3333333333333333,1.875,2.0,2.6666666666666665,0.6666666666666666,0.6666666666666666,925.4416802038681,1068.7634122859217,0.39602061030371283,1.110029084911975,1.241599212592701,2.0,1.3333333333333333,1
03/09/2023PortoArouca,Porto,Arouca,03/09/2023,1.54,2.43,10.4,1.26,3.0,2,8,2,1,1,1,2.0,2.3333333333333335,1.0,2.0,2.0,2.3333333333333335,1.0,2.0,3.1666666666666665,2.0,2.3333333333333335,1.0,0.6666666666666666,1422.001749147235,1079.6498451460104,0.914798779416293,1.1605892963775721,0.9218220149247576,1.0,2.0,0
03/09/2023Sp BragaSp Lisbon,Sp Braga,Sp Lisbon,03/09/2023,1.77,2.04,2.26,2.99,2.5,13,3,4,1,2,0,2.5,2.0,2.0,1.0,2.5,2.0,2.0,1.0,2.7857142857142856,2.5,2.0,1.0,0.6666666666666666,1240.1188001010328,1320.3039449026696,0.4853465957603837,1.2523889515509221,1.225786088030355,2.0,1.0,0
09/09/2023MoreirenseSp Braga,Moreirense,Sp Braga,09/09/2023,1.71,2.12,1.81,4.11,3.0,10,9,2,1,1,1,1.0,2.0,1.0,1.6666666666666667,1.0,2.0,1.0,1.6666666666666667,2.8333333333333335,1.0,2.0,0.6666666666666666,0.6666666666666666,948.5636947494805,1240.7049362706175,0.21776345482706042,0.9175877397869057,1.222401625018471,1.0,1.6666666666666667,1
15/09/2023EstrelaPorto,Estrela,Porto,15/09/2023,1.65,2.25,1.34,8.55,4.0,12,2,1,1,1,1,0.75,1.75,1.25,1.0,0.75,1.75,1.25,1.0,0.0,1.0,1.6666666666666667,0.25,0.75,989.3435721944077,1405.4097979705832,0.12003303909610374,0.9547078026710114,1.145952156055592,1.3333333333333333,1.0,0
16/09/2023Rio AveFamalicao,Rio Ave,Famalicao,16/09/2023,2.29,1.61,2.86,2.57,4.0,11,7,1,1,1,0,1.0,0.75,1.25,0.5,1.0,0.75,1.25,0.5,2.0,0.6666666666666666,0.3333333333333333,0.25,0.25,974.5083547621291,1066.319981632964,0.46865171807182104,0.9133718147641411,0.979266768560274,1.6666666666666667,0.3333333333333333,0
16/09/2023FarenseSp Braga,Farense,Sp Braga,16/09/2023,1.67,2.2,1.7,4.58,4.0,15,6,0,3,1,2,1.5,2.25,1.5,1.75,1.5,2.25,1.5,1.75,2.0,2.0,2.6666666666666665,0.75,0.75,939.5685401624073,1249.4154744636999,0.20090142619435367,0.9829881763038395,1.2702629475766516,1.0,1.6666666666666667,1
16/09/2023VizelaBenfica,Vizela,Benfica,16/09/2023,1.54,2.44,1.33,8.41,4.0,12,4,1,4,0,0,1.25,2.75,1.75,1.25,1.25,2.75,1.75,1.25,2.0,1.0,3.0,0.5,0.75,963.3756552961198,1325.6760723045663,0.1567493175891417,0.9417988848418435,1.2727216022288528,1.3333333333333333,0.6666666666666666,1
17/09/2023AroucaCasa Pia,Arouca,Casa Pia,17/09/2023,2.18,1.68,3.03,2.39,4.0,9,10,1,1,1,1,2.0,1.5,1.75,1.0,2.0,1.5,1.75,1.0,1.0,1.3333333333333333,1.0,0.5,0.5,1096.2417963226621,972.8315200282015,0.7527548112364094,0.9101961639657165,0.9246293868868727,1.3333333333333333,1.3333333333333333,0
17/09/2023Gil VicenteEstoril,Gil Vicente,Estoril,17/09/2023,1.89,1.9,3.31,2.13,4.0,15,16,0,1,1,2,2.0,1.75,1.5,2.0,2.0,1.75,1.5,2.0,1.5,1.0,1.3333333333333333,0.75,0.75,954.2191076242843,909.6008557917196,0.6592144927046559,0.9666089869958711,1.1028524035813883,2.0,1.3333333333333333,1
17/09/2023GuimaraesPortimonense,Guimaraes,Portimonense,17/09/2023,1.89,1.9,5.97,1.55,4.0,5,17,0,1,4,1,1.25,0.75,1.25,2.75,1.25,0.75,1.25,2.75,2.5,1.3333333333333333,1.0,0.5,0.5,1112.5923228478975,894.4449176966114,0.8400647329154942,0.9048319848217578,0.9988307006425574,1.6666666666666667,2.0,1
17/09/2023Sp LisbonMoreirense,Sp Lisbon,Moreirense,17/09/2023,1.57,2.37,12.36,1.22,4.0,4,12,1,2,1,3,1.75,1.25,1.0,1.5,1.75,1.25,1.0,1.5,2.25,1.3333333333333333,1.3333333333333333,0.5,0.75,1319.717808733085,939.8531565563981,0.9301911366763699,1.1964357431273742,0.9535145267696286,0.6666666666666666,1.3333333333333333,1
18/09/2023BoavistaChaves,Boavista,Chaves,18/09/2023,1.7,2.14,4.51,1.71,4.0,4,18,2,1,1,2,2.5,0.75,1.25,3.25,2.5,0.75,1.25,3.25,2.75,2.3333333333333335,1.0,0.75,0.75,1084.6042366980703,949.0429218004225,0.7655417193036501,1.2335718896962093,1.0522423078253613,1.0,3.6666666666666665,1
22/09/2023FamalicaoArouca,Famalicao,Arouca,22/09/2023,2.2,1.64,3.86,2.02,5.0,7,11,1,0,1,1,0.8,1.6,0.6,1.6,0.8,1.6,0.6,1.6,2.25,0.6666666666666666,0.6666666666666666,0.2,0.4,1065.066050355837,1066.1316038732057,0.5979230484690942,0.9740972054091218,0.8863166438413775,0.6666666666666666,1.0,0
23/09/2023EstorilVizela,Estoril,Vizela,23/09/2023,1.96,1.85,2.78,2.5,5.0,17,15,3,1,5,2,2.0,1.2,2.6,1.8,2.0,1.2,2.6,1.8,2.25,1.6666666666666667,0.6666666666666666,0.8,0.6,895.9694354999058,957.1056825925541,0.5127531990969877,1.2132369015571631,0.9418520077834347,3.0,1.3333333333333333,1
23/09/2023MoreirenseFarense,Moreirense,Farense,23/09/2023,1.95,1.85,3.28,2.18,5.0,16,10,0,3,3,1,1.0,1.8,1.8,1.4,1.0,1.8,1.8,1.4,2.5,1.3333333333333333,2.6666666666666665,0.8,0.8,937.0608020234529,971.5324831146331,0.5509518859432954,0.9559877535568414,0.9968178539467861,2.3333333333333335,0.6666666666666666,0
