GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
28/07/2023HamburgSchalke 04,Hamburg,Schalke 04,28/07/2023,1.51,2.5,2.76,2.35,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.5,1133.6425564130707,1144.812976518963,0.5838626236269432,1.3727684232036608,1.2807768880734638,0.0,0.0,1
29/07/2023HannoverElversberg,Hannover,Elversberg,29/07/2023,1.64,2.23,3.17,2.09,0.0,6,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,975.814675006478,1000.0,0.5655531016522712,1.178288472910792,1.0,0.0,0.0,1
29/07/2023KaiserslauternSt Pauli,Kaiserslautern,St Pauli,29/07/2023,1.78,2.01,2.23,3.05,0.0,10,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,0.0,0.5,0.5,948.3195415276731,1143.4800837343714,0.32728685278454556,1.016522397745005,1.0315246248258507,0.0,0.0,1
29/07/2023OsnabruckKarlsruhe,Osnabruck,Karlsruhe,29/07/2023,1.6,2.28,2.32,2.79,0.0,14,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.5,0.5,878.7012749702556,1021.6144404802427,0.39658329415957333,1.0837539806217915,1.1895156090757846,0.0,0.0,1
29/07/2023WehenMagdeburg,Wehen,Magdeburg,29/07/2023,1.63,2.24,2.3,2.82,0.0,17,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,928.7711750264236,1008.4274367817573,0.4861070992662343,1.2784427556231301,1.070510665974074,0.0,0.0,0
29/07/2023Fortuna DusseldorfHertha,Fortuna Dusseldorf,Hertha,29/07/2023,1.7,2.12,2.89,2.3,0.0,4,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1105.2799377699926,1000.0,0.7328229197850374,1.141161195159389,1.0,0.0,0.0,0
30/07/2023BraunschweigHolstein Kiel,Braunschweig,Holstein Kiel,30/07/2023,1.54,2.41,2.51,2.56,0.0,9,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.5,0.5,922.2530642581112,1010.5798626985774,0.47365005139373756,1.1150013605694609,1.3195553437050447,0.0,0.0,0
30/07/2023Greuther FurthPaderborn,Greuther Furth,Paderborn,30/07/2023,1.62,2.26,2.73,2.4,0.0,10,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0,0.0,0.5,0.5,1012.2428679524742,1049.472363114071,0.5470211892388666,1.106674568361125,1.195515287455617,0.0,0.0,1
30/07/2023Hansa RostockNurnberg,Hansa Rostock,Nurnberg,30/07/2023,2.08,1.73,2.85,2.49,0.0,11,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.5,0.5,985.393824018054,987.1566503019417,0.5969577024236962,0.8863327262234767,0.9162967870593188,0.0,0.0,0
04/08/2023HerthaWehen,Hertha,Wehen,04/08/2023,1.67,2.17,5.51,1.55,1.0,13,11,0,1,1,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,989.3129167914014,929.3268910557742,0.6787993811425128,0.9675260077934972,1.2518859625054044,1.0,1.0,0
04/08/2023PaderbornOsnabruck,Paderborn,Osnabruck,04/08/2023,1.5,2.51,5.08,1.59,1.0,18,15,0,2,5,3,0.0,2.0,5.0,3.0,0.0,2.0,5.0,3.0,2.5,0.0,2.0,1.0,1.0,1031.3532106836255,862.8379432038727,0.7978651014716407,1.2261003236821395,1.1136341149482623,5.0,3.0,0
05/08/2023ElversbergHansa Rostock,Elversberg,Hansa Rostock,05/08/2023,1.71,2.11,3.18,2.12,1.0,9,4,2,2,2,0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1002.6221240660908,1001.5155159211062,0.6009254254867745,1.0178950883754057,0.8856700681482982,2.0,0.0,1
05/08/2023Holstein KielGreuther Furth,Holstein Kiel,Greuther Furth,05/08/2023,1.57,2.35,2.67,2.39,1.0,6,2,1,5,0,0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,3.2,1.0,5.0,0.0,1.0,1029.525864754327,1030.3620203829196,0.5982404751071678,1.2715147743630177,1.1349867799400613,0.0,0.0,1
05/08/2023St PauliFortuna Dusseldorf,St Pauli,Fortuna Dusseldorf,05/08/2023,1.68,2.15,3.75,1.9,1.0,8,5,2,1,1,0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.1,2.0,1.0,1.0,0.0,1156.5715578457532,1115.967020978591,0.6540050502161354,1.038973162869623,1.1041031354014195,1.0,0.0,0
05/08/2023Schalke 04Kaiserslautern,Schalke 04,Kaiserslautern,05/08/2023,1.62,2.25,4.74,1.65,1.0,18,15,3,1,5,2,3.0,1.0,5.0,2.0,3.0,1.0,5.0,2.0,0.0,3.0,1.0,1.0,1.0,1128.1674814640407,935.2280674162913,0.819594252643631,1.3332908411377016,1.0238626061799019,5.0,2.0,1
06/08/2023KarlsruheHamburg,Karlsruhe,Hamburg,06/08/2023,1.4,2.86,2.19,2.83,1.0,8,7,3,5,2,3,3.0,5.0,2.0,3.0,3.0,5.0,2.0,3.0,3.125,3.0,5.0,1.0,1.0,1037.4777722466256,1150.288051467993,0.438700969424419,1.2223116927056004,1.4290541800872203,2.0,3.0,1
06/08/2023MagdeburgBraunschweig,Magdeburg,Braunschweig,06/08/2023,1.54,2.4,4.09,1.77,1.0,11,15,1,0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.5,1.0,0.0,0.0,0.0,1007.8717207524066,903.3070622023616,0.7320159719366148,1.0482731976466513,1.074407913364366,1.0,1.0,1
06/08/2023NurnbergHannover,Nurnberg,Hannover,06/08/2023,1.73,2.07,2.87,2.31,1.0,17,10,0,2,2,2,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.6,0.0,2.0,0.0,1.0,971.0349583988896,973.1925509403872,0.5964108307602477,0.9156117266443751,1.1993740492652525,2.0,2.0,1
18/08/2023KaiserslauternElversberg,Kaiserslautern,Elversberg,18/08/2023,1.66,2.18,2.98,2.24,2.0,18,12,0,1,3,2,0.5,1.5,2.5,2.0,0.5,1.5,2.5,2.0,0.0,0.5,1.5,1.0,1.0,928.0118375220366,978.5851070466198,0.5279282132200068,1.0176709100282146,1.0347456514939481,2.5,2.0,1
18/08/2023WehenKarlsruhe,Wehen,Karlsruhe,18/08/2023,1.56,2.37,2.22,2.95,2.0,8,5,1,2,0,2,1.0,2.5,0.5,2.0,1.0,2.5,0.5,2.0,2.0,1.0,2.5,0.0,1.0,956.4788663014748,1039.929733469649,0.480652311430614,1.2099629433317058,1.2171771906036064,0.5,2.0,0
19/08/2023Fortuna DusseldorfPaderborn,Fortuna Dusseldorf,Paderborn,19/08/2023,1.59,2.32,3.14,2.1,2.0,5,16,0,1,0,1,0.5,0.5,0.0,3.0,0.5,0.5,0.0,3.0,3.5,0.5,0.5,0.0,0.5,1122.1272229872366,1019.4386066247599,0.7298921745647053,1.0488979786313484,1.2007137473725673,0.0,3.0,1
19/08/2023Greuther FurthSt Pauli,Greuther Furth,St Pauli,19/08/2023,1.75,2.04,2.61,2.55,2.0,9,7,1,0,2,0,3.0,1.0,1.0,0.5,3.0,1.0,1.0,0.5,3.0,3.0,1.0,1.0,0.5,1014.2916393872063,1150.4113558371077,0.40597841024821524,1.1254252528424975,0.9870245047261419,1.0,0.5,0
19/08/2023Hansa RostockHannover,Hansa Rostock,Hannover,19/08/2023,1.77,2.01,2.62,2.53,2.0,2,12,2,2,1,2,2.0,2.0,0.5,2.0,2.0,2.0,0.5,2.0,1.75,2.0,2.0,0.5,1.0,1025.552532940577,977.0489841707971,0.6642208978957788,0.9003317356973145,1.2267786270604155,0.5,2.0,1
